series_id,series_name,sub_brand_name,category,official_price,dealer_price,price,dcd_score,image_url,motor_id,business_status,top_tag
4272,零跑T03,零跑汽车,全部,5.99-6.99万,5.19-6.19万,5.99-6.99万,346,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070042720000000,0,微型轿车销量NO.5
9266,零跑B01,零跑汽车,全部,8.98-11.98万,8.98-11.78万,8.98-11.98万,376,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/5be73db764e24be994db9929909433f4~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070092660000000,0,紧凑型轿车销量NO.8
5106,零跑C01,零跑汽车,全部,13.68-15.88万,11.98-14.18万,13.68-15.88万,395,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/0629455ab0404f8d8321d8de26257973~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070051060000000,0,中大型轿车销量NO.44
25682,零跑Lafa5,零跑汽车,全部,暂无报价,暂无报价,暂无报价,0,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/e94e498f692549d093ff01e23cf45251~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070256820000000,2,即将上市
9268,零跑B10,零跑汽车,全部,9.98-12.98万,9.58-12.58万,9.98-12.98万,376,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/37728f4ddf574234b6b4cba25ab3e26a~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070092680000000,0,紧凑型SUV销量NO.22
9307,零跑C10,零跑汽车,全部,12.28-16.88万,11.18-15.18万,12.28-16.88万,403,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070093070000000,0,中型SUV销量NO.4
10125,零跑C16,零跑汽车,全部,15.18-18.98万,14.68-18.08万,15.18-18.98万,412,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/3a7e8d9383f14f67a0d76a57231764be~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070101250000000,0,中大型SUV销量NO.5
4731,零跑C11,零跑汽车,全部,14.88-20.58万,12.88-18.58万,14.88-20.58万,383,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/9fe2e951084c42b08cd13db2b3c235d5~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070047310000000,0,中型SUV销量NO.8
25718,零跑D19,零跑汽车,全部,暂无报价,暂无报价,暂无报价,0,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/f71aa861de0a42409e0d96f087536c27~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070257180000000,2,即将上市
9267,零跑A10,零跑汽车,全部,暂无报价,,暂无报价,0,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/8b484906d0c3490586544db6946d1a60~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070092670000000,3,
25719,零跑D16,零跑汽车,全部,暂无报价,,暂无报价,0,http://p3-dcd.byteimg.com/tos-cn-i-dcdx/8b484906d0c3490586544db6946d1a60~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070257190000000,3,
3370,零跑C-more,零跑汽车,全部,暂无报价,,暂无报价,0,http://p3-dcd.byteimg.com/motor-mis-img/07efc0d9f3566c7b973b1d4a011590c0~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070033700000000,3,
1934,零跑S01,零跑汽车,全部,11.99-15.99万,,11.99-15.99万,337,http://p3-dcd.byteimg.com/motor-mis-img/3b318ce984dc799f5fe64c2b8a74b54d~tplv-f042mdwyw7-original:960:0.png?psm=motor.pc_car.api,2070019340000000,1,
